location_slug,location_name,region,search_query_1,search_query_2,unsplash_url,pexels_url
alcaidesa,"Alcaidesa","Sotogrande","Alcaidesa Sotogrande Spain residential street Mediterranean architecture","Alcaidesa Costa del Sol hillside golf community with sea views scenic view","https://unsplash.com/s/photos/Alcaidesa%20spain","https://www.pexels.com/search/Alcaidesa%20costa%20del%20sol/"
alhaurin-el-grande,"Alhaurín el Grande","Inland Málaga","Alhaurín el Grande Inland Málaga Spain residential street Mediterranean architecture","Alhaurín el Grande Costa del Sol traditional white village in mountain foothills scenic view","https://unsplash.com/s/photos/Alhaur%C3%ADn%20el%20Grande%20spain","https://www.pexels.com/search/Alhaur%C3%ADn%20el%20Grande%20costa%20del%20sol/"
alozaina,"Alozaina","Sierra de las Nieves","Alozaina Sierra de las Nieves Spain residential street Mediterranean architecture","Alozaina Costa del Sol rustic mountain village with olive groves scenic view","https://unsplash.com/s/photos/Alozaina%20spain","https://www.pexels.com/search/Alozaina%20costa%20del%20sol/"
arroyo-de-la-miel,"Arroyo de la Miel","Benalmádena","Arroyo de la Miel Benalmádena Spain residential street Mediterranean architecture","Arroyo de la Miel Costa del Sol bustling commercial center near coast scenic view","https://unsplash.com/s/photos/Arroyo%20de%20la%20Miel%20spain","https://www.pexels.com/search/Arroyo%20de%20la%20Miel%20costa%20del%20sol/"
benalmadena-area,"Benalmádena","Costa del Sol","Benalmádena Costa del Sol Spain residential street Mediterranean architecture","Benalmádena Costa del Sol coastal resort town with marina and cable car scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20costa%20del%20sol/"
benalmadena-costa,"Benalmádena Costa","Benalmádena","Benalmádena Costa Benalmádena Spain residential street Mediterranean architecture","Benalmádena Costa Costa del Sol beachfront promenade with modern apartments scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20Costa%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20Costa%20costa%20del%20sol/"
benalmadena-pueblo,"Benalmádena Pueblo","Benalmádena","Benalmádena Pueblo Benalmádena Spain residential street Mediterranean architecture","Benalmádena Pueblo Costa del Sol charming whitewashed hilltop village scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20Pueblo%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20Pueblo%20costa%20del%20sol/"
calahonda,"Calahonda","Mijas Costa","Calahonda Mijas Costa Spain residential street Mediterranean architecture","Calahonda Costa del Sol hillside residential area near beach scenic view","https://unsplash.com/s/photos/Calahonda%20spain","https://www.pexels.com/search/Calahonda%20costa%20del%20sol/"
cancelada,"Cancelada","Estepona","Cancelada Estepona Spain residential street Mediterranean architecture","Cancelada Costa del Sol quiet residential village with local shops scenic view","https://unsplash.com/s/photos/Cancelada%20spain","https://www.pexels.com/search/Cancelada%20costa%20del%20sol/"
casares-costa,"Casares Costa","Casares","Casares Costa Casares Spain residential street Mediterranean architecture","Casares Costa Costa del Sol coastal urbanization with golf courses scenic view","https://unsplash.com/s/photos/Casares%20Costa%20spain","https://www.pexels.com/search/Casares%20Costa%20costa%20del%20sol/"
coin,"Coín","Guadalhorce Valley","Coín Guadalhorce Valley Spain residential street Mediterranean architecture","Coín Costa del Sol authentic Spanish market town inland scenic view","https://unsplash.com/s/photos/Co%C3%ADn%20spain","https://www.pexels.com/search/Co%C3%ADn%20costa%20del%20sol/"
el-chaparral,"El Chaparral","Mijas Costa","El Chaparral Mijas Costa Spain residential street Mediterranean architecture","El Chaparral Costa del Sol woodland residential area near golf scenic view","https://unsplash.com/s/photos/El%20Chaparral%20spain","https://www.pexels.com/search/El%20Chaparral%20costa%20del%20sol/"
el-rosario,"El Rosario","Marbella East","El Rosario Marbella East Spain residential street Mediterranean architecture","El Rosario Costa del Sol established beachside residential area scenic view","https://unsplash.com/s/photos/El%20Rosario%20spain","https://www.pexels.com/search/El%20Rosario%20costa%20del%20sol/"
elviria,"Elviria","Marbella East","Elviria Marbella East Spain residential street Mediterranean architecture","Elviria Costa del Sol upscale residential area with dune beach scenic view","https://unsplash.com/s/photos/Elviria%20spain","https://www.pexels.com/search/Elviria%20costa%20del%20sol/"
estepona-town,"Estepona Town","Estepona","Estepona Town Estepona Spain residential street Mediterranean architecture","Estepona Town Costa del Sol picturesque old town with flower streets scenic view","https://unsplash.com/s/photos/Estepona%20Town%20spain","https://www.pexels.com/search/Estepona%20Town%20costa%20del%20sol/"
frigiliana,"Frigiliana","Axarquía","Frigiliana Axarquía Spain residential street Mediterranean architecture","Frigiliana Costa del Sol stunning white village with Moorish heritage scenic view","https://unsplash.com/s/photos/Frigiliana%20spain","https://www.pexels.com/search/Frigiliana%20costa%20del%20sol/"
guadiaro,"Guadiaro","Sotogrande","Guadiaro Sotogrande Spain residential street Mediterranean architecture","Guadiaro Costa del Sol peaceful riverside village near polo grounds scenic view","https://unsplash.com/s/photos/Guadiaro%20spain","https://www.pexels.com/search/Guadiaro%20costa%20del%20sol/"
guaro,"Guaro","Sierra de las Nieves","Guaro Sierra de las Nieves Spain residential street Mediterranean architecture","Guaro Costa del Sol small mountain village with panoramic views scenic view","https://unsplash.com/s/photos/Guaro%20spain","https://www.pexels.com/search/Guaro%20costa%20del%20sol/"
inland-sierra-region,"Inland Sierra","Málaga Mountains","Inland Sierra Málaga Mountains Spain residential street Mediterranean architecture","Inland Sierra Costa del Sol scenic mountain range with white villages scenic view","https://unsplash.com/s/photos/Inland%20Sierra%20spain","https://www.pexels.com/search/Inland%20Sierra%20costa%20del%20sol/"
la-cala-de-mijas,"La Cala de Mijas","Mijas Costa","La Cala de Mijas Mijas Costa Spain residential street Mediterranean architecture","La Cala de Mijas Costa del Sol family-friendly beach town with boardwalk scenic view","https://unsplash.com/s/photos/La%20Cala%20de%20Mijas%20spain","https://www.pexels.com/search/La%20Cala%20de%20Mijas%20costa%20del%20sol/"
la-cala-del-moral,"La Cala del Moral","Rincón de la Victoria","La Cala del Moral Rincón de la Victoria Spain residential street Mediterranean architecture","La Cala del Moral Costa del Sol traditional fishing village turned resort scenic view","https://unsplash.com/s/photos/La%20Cala%20del%20Moral%20spain","https://www.pexels.com/search/La%20Cala%20del%20Moral%20costa%20del%20sol/"
la-carihuela,"La Carihuela","Torremolinos","La Carihuela Torremolinos Spain residential street Mediterranean architecture","La Carihuela Costa del Sol authentic fishing quarter with seafood restaurants scenic view","https://unsplash.com/s/photos/La%20Carihuela%20spain","https://www.pexels.com/search/La%20Carihuela%20costa%20del%20sol/"
la-reserva,"La Reserva","Sotogrande","La Reserva Sotogrande Spain residential street Mediterranean architecture","La Reserva Costa del Sol exclusive gated community with golf scenic view","https://unsplash.com/s/photos/La%20Reserva%20spain","https://www.pexels.com/search/La%20Reserva%20costa%20del%20sol/"
las-chapas,"Las Chapas","Marbella East","Las Chapas Marbella East Spain residential street Mediterranean architecture","Las Chapas Costa del Sol prestigious residential area with pine forests scenic view","https://unsplash.com/s/photos/Las%20Chapas%20spain","https://www.pexels.com/search/Las%20Chapas%20costa%20del%20sol/"
malaga-east-axarquia,"Málaga East & Axarquía","Eastern Costa del Sol","Málaga East & Axarquía Eastern Costa del Sol Spain residential street Mediterranean architecture","Málaga East & Axarquía Costa del Sol dramatic coastal cliffs and white villages scenic view","https://unsplash.com/s/photos/M%C3%A1laga%20East%20%26%20Axarqu%C3%ADa%20spain","https://www.pexels.com/search/M%C3%A1laga%20East%20%26%20Axarqu%C3%ADa%20costa%20del%20sol/"
manilva,"Manilva","Western Costa del Sol","Manilva Western Costa del Sol Spain residential street Mediterranean architecture","Manilva Costa del Sol wine-producing town with Roman ruins scenic view","https://unsplash.com/s/photos/Manilva%20spain","https://www.pexels.com/search/Manilva%20costa%20del%20sol/"
marbella-area,"Marbella","Costa del Sol","Marbella Costa del Sol Spain residential street Mediterranean architecture","Marbella Costa del Sol glamorous resort city with golden mile scenic view","https://unsplash.com/s/photos/Marbella%20spain","https://www.pexels.com/search/Marbella%20costa%20del%20sol/"
mijas-costa,"Mijas Costa","Mijas","Mijas Costa Mijas Spain residential street Mediterranean architecture","Mijas Costa Costa del Sol long sandy beaches with family resorts scenic view","https://unsplash.com/s/photos/Mijas%20Costa%20spain","https://www.pexels.com/search/Mijas%20Costa%20costa%20del%20sol/"
mijas-pueblo,"Mijas Pueblo","Mijas","Mijas Pueblo Mijas Spain residential street Mediterranean architecture","Mijas Pueblo Costa del Sol iconic white village with donkey taxis scenic view","https://unsplash.com/s/photos/Mijas%20Pueblo%20spain","https://www.pexels.com/search/Mijas%20Pueblo%20costa%20del%20sol/"
miraflores,"Miraflores","Mijas Costa","Miraflores Mijas Costa Spain residential street Mediterranean architecture","Miraflores Costa del Sol quiet residential area with golf views scenic view","https://unsplash.com/s/photos/Miraflores%20spain","https://www.pexels.com/search/Miraflores%20costa%20del%20sol/"
nerja,"Nerja","Axarquía","Nerja Axarquía Spain residential street Mediterranean architecture","Nerja Costa del Sol dramatic balcony of Europe with caves scenic view","https://unsplash.com/s/photos/Nerja%20spain","https://www.pexels.com/search/Nerja%20costa%20del%20sol/"
nueva-andalucia,"Nueva Andalucía","Marbella","Nueva Andalucía Marbella Spain residential street Mediterranean architecture","Nueva Andalucía Costa del Sol golf valley with luxury villas scenic view","https://unsplash.com/s/photos/Nueva%20Andaluc%C3%ADa%20spain","https://www.pexels.com/search/Nueva%20Andaluc%C3%ADa%20costa%20del%20sol/"
ojen,"Ojén","Marbella Mountains","Ojén Marbella Mountains Spain residential street Mediterranean architecture","Ojén Costa del Sol charming mountain village above Marbella scenic view","https://unsplash.com/s/photos/Oj%C3%A9n%20spain","https://www.pexels.com/search/Oj%C3%A9n%20costa%20del%20sol/"
pueblo-nuevo,"Pueblo Nuevo","Sotogrande","Pueblo Nuevo Sotogrande Spain residential street Mediterranean architecture","Pueblo Nuevo Costa del Sol local Spanish village near golf resorts scenic view","https://unsplash.com/s/photos/Pueblo%20Nuevo%20spain","https://www.pexels.com/search/Pueblo%20Nuevo%20costa%20del%20sol/"
puerto-banus,"Puerto Banús","Marbella","Puerto Banús Marbella Spain residential street Mediterranean architecture","Puerto Banús Costa del Sol luxury marina with superyachts and boutiques scenic view","https://unsplash.com/s/photos/Puerto%20Ban%C3%BAs%20spain","https://www.pexels.com/search/Puerto%20Ban%C3%BAs%20costa%20del%20sol/"
puerto-de-la-duquesa,"Puerto de la Duquesa","Manilva","Puerto de la Duquesa Manilva Spain residential street Mediterranean architecture","Puerto de la Duquesa Costa del Sol charming marina village with restaurants scenic view","https://unsplash.com/s/photos/Puerto%20de%20la%20Duquesa%20spain","https://www.pexels.com/search/Puerto%20de%20la%20Duquesa%20costa%20del%20sol/"
rincon-de-la-victoria,"Rincón de la Victoria","Eastern Málaga","Rincón de la Victoria Eastern Málaga Spain residential street Mediterranean architecture","Rincón de la Victoria Costa del Sol family beach town near Málaga city scenic view","https://unsplash.com/s/photos/Rinc%C3%B3n%20de%20la%20Victoria%20spain","https://www.pexels.com/search/Rinc%C3%B3n%20de%20la%20Victoria%20costa%20del%20sol/"
riviera-del-sol,"Riviera del Sol","Mijas Costa","Riviera del Sol Mijas Costa Spain residential street Mediterranean architecture","Riviera del Sol Costa del Sol hillside residential area with sea views scenic view","https://unsplash.com/s/photos/Riviera%20del%20Sol%20spain","https://www.pexels.com/search/Riviera%20del%20Sol%20costa%20del%20sol/"
sabinillas,"Sabinillas","Manilva","Sabinillas Manilva Spain residential street Mediterranean architecture","Sabinillas Costa del Sol authentic Spanish coastal village scenic view","https://unsplash.com/s/photos/Sabinillas%20spain","https://www.pexels.com/search/Sabinillas%20costa%20del%20sol/"
san-pedro,"San Pedro de Alcántara","Marbella West","San Pedro de Alcántara Marbella West Spain residential street Mediterranean architecture","San Pedro de Alcántara Costa del Sol local town with boulevard and beach scenic view","https://unsplash.com/s/photos/San%20Pedro%20de%20Alc%C3%A1ntara%20spain","https://www.pexels.com/search/San%20Pedro%20de%20Alc%C3%A1ntara%20costa%20del%20sol/"
san-roque-club,"San Roque Club","San Roque","San Roque Club San Roque Spain residential street Mediterranean architecture","San Roque Club Costa del Sol prestigious golf resort community scenic view","https://unsplash.com/s/photos/San%20Roque%20Club%20spain","https://www.pexels.com/search/San%20Roque%20Club%20costa%20del%20sol/"
selwo,"Selwo","Estepona","Selwo Estepona Spain residential street Mediterranean architecture","Selwo Costa del Sol hillside community near safari park scenic view","https://unsplash.com/s/photos/Selwo%20spain","https://www.pexels.com/search/Selwo%20costa%20del%20sol/"
sotogrande-alto,"Sotogrande Alto","Sotogrande","Sotogrande Alto Sotogrande Spain residential street Mediterranean architecture","Sotogrande Alto Costa del Sol elevated exclusive residential area scenic view","https://unsplash.com/s/photos/Sotogrande%20Alto%20spain","https://www.pexels.com/search/Sotogrande%20Alto%20costa%20del%20sol/"
sotogrande-costa,"Sotogrande Costa","Sotogrande","Sotogrande Costa Sotogrande Spain residential street Mediterranean architecture","Sotogrande Costa Costa del Sol luxury marina and polo grounds scenic view","https://unsplash.com/s/photos/Sotogrande%20Costa%20spain","https://www.pexels.com/search/Sotogrande%20Costa%20costa%20del%20sol/"
tolox,"Tolox","Sierra de las Nieves","Tolox Sierra de las Nieves Spain residential street Mediterranean architecture","Tolox Costa del Sol spa village in national park scenic view","https://unsplash.com/s/photos/Tolox%20spain","https://www.pexels.com/search/Tolox%20costa%20del%20sol/"
torre-del-mar,"Torre del Mar","Axarquía","Torre del Mar Axarquía Spain residential street Mediterranean architecture","Torre del Mar Costa del Sol popular beach resort with promenade scenic view","https://unsplash.com/s/photos/Torre%20del%20Mar%20spain","https://www.pexels.com/search/Torre%20del%20Mar%20costa%20del%20sol/"
torremolinos,"Torremolinos","Costa del Sol","Torremolinos Costa del Sol Spain residential street Mediterranean architecture","Torremolinos Costa del Sol vibrant resort town with diverse beaches scenic view","https://unsplash.com/s/photos/Torremolinos%20spain","https://www.pexels.com/search/Torremolinos%20costa%20del%20sol/"
torrox,"Torrox","Axarquía","Torrox Axarquía Spain residential street Mediterranean architecture","Torrox Costa del Sol best climate in Europe with Roman ruins scenic view","https://unsplash.com/s/photos/Torrox%20spain","https://www.pexels.com/search/Torrox%20costa%20del%20sol/"
velez-malaga,"Vélez-Málaga","Axarquía","Vélez-Málaga Axarquía Spain residential street Mediterranean architecture","Vélez-Málaga Costa del Sol historic capital of Axarquía region scenic view","https://unsplash.com/s/photos/V%C3%A9lez-M%C3%A1laga%20spain","https://www.pexels.com/search/V%C3%A9lez-M%C3%A1laga%20costa%20del%20sol/"